매장명칭,매장유형,주소,전화번호,영업시간,위도,경도
제주 티뮤지엄,티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,064-794-5312,"연중무휴 ,09:00-18:00
매일 09:00 - 18:00 동절기 (1/1~4/30, 10/01~12~31)
매일 09:00 - 19:00 하절기 (5/1~9/30 )",33.305885,126.289422
강남점,티하우스,서울특별시 서초구 강남대로 373 홍우빌딩 1~2층,02-3486-6695,"연중무휴, 09:00-22:00",37.495964,127.028040
현대미술관점,티하우스,서울특별시 종로구 삼청로 30,02-739-9293,"일,월,화,수,목 10:00-18:00/ 금,토 10:00-21:00",37.579432,126.980352
롯데월드점,티하우스,서울특별시 송파구 올림픽로 300 롯데월드몰 2F,02-3213-4245,"연중무휴, 10:00-22:00",37.513390,127.103766
명동점,티하우스,서울특별시 중구 명동7길 12,02-774-5460,"연중무휴, 10:00-23:00",37.564248,126.984467
인사동점,티하우스,서울특별시 종로구 인사동길 45-1,02-732-6427,"연중무휴, 10:00-22:00",37.574252,126.984349
롯데백화점 명동점,백화점,서울특별시 중구 소공동 1 롯데백화점 본점 지하1층 오설록매장,02-726-4027,월 - 일 : 10:30 - 20:00,37.564701,126.981729
현대백화점 목동점,백화점,서울특별시 양천구 목동동로 257(목동) 현대백화점 목동점 지하1층 오설록매장,02-2163-2066,월 - 일 : 10:30 - 21:00,37.526451,126.875125
신세계백화점 경기점,백화점,경기도 용인시 수지구 죽전동 1285번지 경기점 지하1층 오설록매장,031-695-2261,월 - 일 : 10:30 - 21:00,37.325034,127.108085
현대백화점 중동점,백화점,경기도 부천시 원미구 길주로 180. 현대백화점 지하1층,032-623-1076,월 - 일 : 10:30 - 21:00,37.504295,126.762020
롯데백화점 일산점,백화점,경기도 고양시 일산동구 장항동 784 지하1층 오설록매장,031-909-3046,월 - 일 : 10:30 - 20:00,37.660439,126.772113
롯데백화점 평촌점,백화점,경기도 안양시 동안구 호계동?범계역 연결 지하 1층 매장,031-8086-9047,월 - 일 : 10:30 - 20:00,37.389911,126.950336
신세계백화점 광주점,백화점,광주광역시 서구 광천동 49-1 신세계백화점 광주점 지하1층 오설록매장,062-369-1020,월 - 일 : 10:30 - 20:00,35.160598,126.882683
신세계백화점 센텀시티점,백화점,부산광역시 해운대구 우동 1495 신세계백화점 센텀시티점 지하1층 오설록매장,051-745-2077,월 - 일 : 10:30 - 21:00,35.168801,129.129127
롯데백화점 노원점,백화점,서울특별시 노원구 상계2동 713 롯데백화점 노원점 지하1층 오설록매장,02-950-2023,월 - 일 : 10:30 - 20:00,37.654882,127.061081
롯데백화점 잠실점,백화점,서울특별시 송파구 잠실동 40-1 롯데백화점 잠실점 지하1층 오설록매장,02-411-6061,월 - 일 : 10:30 - 20:00,37.512065,127.099399
롯데백화점 청량리점,백화점,서울특별시 동대문구 전농동 롯데백화점 청량리점 지하2층 오설록매장,02-3707-1984,월 - 일 : 10:30 - 20:00,37.580705,127.047584
신세계백화점 강남점,백화점,서울특별시 서초구 반포1동 19-3 신세계백화점 강남점 지하1층 오설록매장,02-3479-1316,월 - 일 : 10:30 - 20:00,37.505016,127.004221
신세계백화점 본점,백화점,서울특별시 중구 충무로1가 52-5 신세계백화점 본점 지하1층 오설록매장,02-310-1225,월 - 일 : 10:30 - 20:00,37.560872,126.981121
현대백화점 무역점,백화점,서울특별시 강남구 삼성동 159-1 현대백화점 무역점 지하1층 오설록매장,02-3467-8906,월 - 일 : 10:30 - 20:00,37.508556,127.059698
AK플라자 분당점,백화점,경기도 성남시 분당구 서현동 263번지 AK플라자 분당점 지하1층 오설록매장,031-8023-2017,월 - 일 : 10:30 - 20:00,37.385010,127.123327
AK플라자 수원점,백화점,경기도 수원시 팔달구 매산로1가 18 AK플라자 수원점 지하2층 오설록매장,031-240-0840,월 - 일 : 10:30 - 20:00,37.265721,127.000335
신세계의정부점,백화점,경기도 의정부시 의정부동 신세계의정부 지상3층 오설록 매장,031-8082-0242,월 - 일 : 10:30 - 20:00,37.738061,127.045929
롯데백화점 대전점,백화점,대전광역시 서구 괴정동 423-1 롯데백화점 대전점 지하1층 오설록매장,042-521-0141,월 - 일 : 10:30 - 20:00,36.340747,127.389525
롯데면세점 소공점,면세점,"서울시 중구 소공동 1번지 롯데면세점 13, 14층 메자닌 고객라운지",02-759-6814,09:30-21:00,37.565440,126.980942
롯데백화점 부산점,백화점,부산광역시 부산진구 가야대로 772 롯데백화점부산본점 지하2층,051-810-3175,10:30-20:00,35.154540,129.033352
롯데백화점 동래점,백화점,부산광역시 동래구 중앙대로 1393 롯데백화점동래점 지하1층,051-668-3037,10:30-20:00,35.208424,129.080219
롯데백화점 광복점,백화점,부산광역시 중구 중앙대로 2 롯데백화점광복점 지하1층,051-678-3206,10:30-20:00,35.098414,129.036836
신세계백화점 동대구점,백화점,대구광역시 동구 동부로 149(신천동) 신세계백화점 지하1층,053-661-1695,10:30-20:00,35.878149,128.628895
현대백화점 대구점,백화점,대구광역시 중구 달구벌대로 2077 현대백화점 지하1층,053-245-2903,10:30-20:00,35.867036,128.590556
현대백화점 판교점,백화점,경기 성남시 분당구 백현동 541 현대백화점 지하1층,031-5170-2074,10:30-20:00,37.392852,127.111994
롯데백화점 포항점,백화점,경상북도 포항시 북구 학산동 127-77 롯데백화점 포항점,054-230-1043,09:00-20:00,36.049915,129.369557
용산파크점,티하우스,서울특별시 용산구 한강대로 100 아모레퍼시픽빌딩 1F,070-5172-1170,"연중무휴/ 평일08:00-21:00
토,일,국경일,공휴일 11:00-20:00 (~9월까지 연장 운영)",37.52879,126.96867
오설록 1979,티하우스,서울특별시 용산구 한강대로 100 아모레퍼시픽빌딩 1F,070-5172-1171,"연중무휴/ 평일10:00-21:00
토,일,국경일,공휴일 11:00-20:00

※ 네이버 예약하기 시스템을 통해서만 예약 가능합니다. (현장 접수 및 유선 예약 불가)
▶ 예약하러가기(클릭하시면 네이버예약으로 이동합니다)",37.52879,126.96867
갤러리아백화점 타임월드점,백화점,대전 서구 대덕대로 211 갤러리아백화점타임월드점 B2,042-480-5179,10:30~20:00,36.352127,127.378260
갤러리아백화점 광교점,백화점,경기도 수원시 영통구 광교중앙로 124 갤러리아 광교 B1,031-5174-7026,10:30~20:00,37.284224,127.056684
신세계백화점 영등포점,백화점,서울시 영등포구 영중로 15 신세계백화점영등포점 지하 1층 오설록 매장,02-2639-4014,"월~목 11:00~20:00
금~일 11:00~20:30",37.517060,126.904150
